4;01:45:00;Perdeu 15 Wpt(s) Roteiro (W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
4;00:06:00;VelPerm=40Km/h / 6 x (1..20Km/h)
7;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
9;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
11;03:02:00;Perdeu 26 Wpt(s) Roteiro (W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
12;00:00:36;Lg=13:11:52 Ch=13:15:40 Real=00:03:48 Min=0:04:00.00 Dif=00:00:12 (5,00%)( x3)
15;03:09:00;Perdeu 27 Wpt(s) Roteiro (W2228, W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
15;00:12:00;VelPerm=40Km/h / 2 x (1..20Km/h) + 5 x (20..40Km/h)
16;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
22;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
23;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
23;00:02:00;VelPerm=40Km/h / 2 x (1..20Km/h)
23;00:01:00;VelPerm=100Km/h / 1 x (1..20Km/h)
25;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
26;00:01:00;VelPerm=30Km/h / 1 x (1..20Km/h)
27;00:02:00;VelPerm=40Km/h / 2 x (1..20Km/h)
28;00:02:00;VelPerm=40Km/h / 1 x (20..40Km/h)
30;03:02:00;Perdeu 26 Wpt(s) Roteiro (W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
31;00:08:00;VelPerm=40Km/h / 4 x (1..20Km/h) + 2 x (20..40Km/h)
31;00:01:48;Lg=12:28:58 Ch=12:31:22 Real=00:02:24 Min=0:03:00.00 Dif=00:00:36 (20,00%)( x3)
32;00:05:00;VelPerm=40Km/h / 5 x (1..20Km/h)
32;00:02:36;Lg=14:12:07 Ch=14:15:15 Real=00:03:08 Min=0:04:00.00 Dif=00:00:52 (21,66%)( x3)
33;00:05:00;VelPerm=30Km/h / 1 x (1..20Km/h) + 2 x (20..40Km/h)
35;00:03:00;VelPerm=30Km/h / 3 x (1..20Km/h)
36;04:19:00;Perdeu 37 Wpt(s) Roteiro (W2169, W2170, W2171, W2177, W2180, W2185, W2202, W2204, W2205, W2210, W2228, W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375 e etc)
36;00:16:00;VelPerm=40Km/h / 8 x (1..20Km/h) + 4 x (20..40Km/h)
37;03:09:00;Perdeu 27 Wpt(s) Roteiro (W2228, W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
37;00:04:00;VelPerm=30Km/h / 2 x (1..20Km/h) + 1 x (20..40Km/h)
37;00:05:00;VelPerm=40Km/h / 5 x (1..20Km/h)
37;00:27:00;VelPerm=100Km/h / 23 x (1..20Km/h) + 2 x (20..40Km/h)
38;00:00:54;Lg=12:20:22 Ch=12:23:04 Real=00:02:42 Min=0:03:00.00 Dif=00:00:18 (10,00%)( x3)
38;00:01:06;Lg=13:47:30 Ch=13:51:08 Real=00:03:38 Min=0:04:00.00 Dif=00:00:22 (9,16%)( x3)
40;00:02:00;VelPerm=100Km/h / 2 x (1..20Km/h)
40;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
40;00:00:42;Lg=15:02:51 Ch=15:06:37 Real=00:03:46 Min=0:04:00.00 Dif=00:00:14 (5,83%)( x3)
41;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
41;00:00:24;Lg=12:11:30 Ch=12:14:22 Real=00:02:52 Min=0:03:00.00 Dif=00:00:08 (4,44%)( x3)
42;00:03:00;VelPerm=30Km/h / 3 x (1..20Km/h)
42;00:02:15;Lg=11:24:11 Ch=11:26:26 Real=00:02:15 Min=0:03:00.00 Dif=00:00:45 (25,00%)( x3)
42;00:02:45;Lg=12:39:56 Ch=12:43:01 Real=00:03:05 Min=0:04:00.00 Dif=00:00:55 (22,91%)( x3)
44;00:00:33;Lg=11:55:43 Ch=11:58:32 Real=00:02:49 Min=0:03:00.00 Dif=00:00:11 (6,11%)( x3)
44;00:01:36;Lg=13:19:27 Ch=13:22:55 Real=00:03:28 Min=0:04:00.00 Dif=00:00:32 (13,33%)( x3)
47;00:05:00;VelPerm=40Km/h / 5 x (1..20Km/h)
47;00:02:00;VelPerm=40Km/h / 1 x (20..40Km/h)
48;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
49;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
52;00:01:00;VelPerm=100Km/h / 1 x (1..20Km/h)
52;00:17:00;VelPerm=40Km/h / 1 x (1..20Km/h) + 2 x (20..40Km/h) + 2 x (>40Km/h)
53;05:22:00;Perdeu 46 Wpt(s) Roteiro (W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185, W2202, W2204, W2205, W2210, W2211, W2216, W2218, W2228, W2239, W2240, W2248, W2251, W2145, W2252, W2260, W2263, W2264, W2253, W2281 e etc)
102;03:02:00;Perdeu 26 Wpt(s) Roteiro (W2239, W2240, W2248, W2251, W2252, W2260, W2263, W2264, W2253, W2281, W2290, W2300, W2316, W2323, W2299, W2304, W2321, W2325, W2375, W2361, W2340, W2345, W2346, W2360, W2395, W2408)
102;00:11:00;VelPerm=40Km/h / 3 x (1..20Km/h) + 4 x (20..40Km/h)
103;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
104;00:01:00;VelPerm=30Km/h / 1 x (1..20Km/h)
106;00:11:00;VelPerm=40Km/h / 3 x (1..20Km/h) + 4 x (20..40Km/h)
106;00:01:54;Lg=13:07:32 Ch=13:09:54 Real=00:02:22 Min=0:03:00.00 Dif=00:00:38 (21,11%)( x3)
106;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
107;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)
107;00:01:00;VelPerm=30Km/h / 1 x (1..20Km/h)
109;00:00:24;Lg=13:07:04 Ch=13:09:56 Real=00:02:52 Min=0:03:00.00 Dif=00:00:08 (4,44%)( x3)
111;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
113;07:35:00;Perdeu 65 Wpt(s) Roteiro (W2038, W2042, W2043, W2049, W2053, W2055, W2060, W2066, W2071, W2082, W2087, W2094, W2098, W2107, W2110, W2114, W2120, W2122, W2124, W2129, W2136, W2139, W2144, W2148, W2169, W2170, W2171, W2177, W2180, W2185 e etc)
114;00:07:00;Perdeu 1 Wpt(s) Roteiro (W2321)

